CustomerID,CLV,frequency,recency,T,monetary_value,predict_purch_10,predict_purch_30,predict_purch_60,predict_purch_90,prob_alive,Country,InvoiceDate,Revenues,Orders,Churn,Cluster,Segmentation
12347,3236.1139698862135,6.0,365.0,367.0,599.7016666666667,0.15656553650214822,0.4696796271338145,0.9393099144155633,1.4088935447389974,0.7998078605959382,Iceland,1/26/2011 14:30,4310.0,182,0.20019213940406178,0.0,HS Active
12348,988.6488964710944,3.0,283.0,358.0,301.48,0.08956352563908365,0.26868137611592396,0.5373359906131273,0.8059652494344014,0.7993747859578284,Finland,1/25/2011 10:42,1797.24,31,0.2006252140421716,0.0,HS Active
12352,2432.716562155195,6.0,260.0,296.0,368.25666666666666,0.1869840668569201,0.5609280947636738,1.1217865612380444,1.6825798290400542,0.799621713359435,Norway,11/3/2011 14:37,1545.41,95,0.200378286640565,1.0,MS Inactive
12356,739.2672742769214,2.0,303.0,325.0,269.90500000000003,0.07171711824286504,0.2151437594293045,0.43026545748951744,0.6453663011337037,0.7995602084226952,Portugal,1/18/2011 9:50,2811.43,59,0.20043979157730485,0.0,HS Active
12358,1813.2703406014662,1.0,149.0,150.0,683.2,0.08338625521116291,0.2501443389001725,0.5002476366322022,0.7503134450288504,0.7994959775108554,Austria,12/8/2011 10:26,1168.06,19,0.20050402248914456,1.0,MS Inactive
12359,5981.570011190658,3.0,274.0,331.0,1941.6933333333334,0.09562077727552006,0.2868518633426466,0.5736733377832796,0.8604661154701871,0.7994622818981945,Cyprus,1/12/2011 12:43,6245.53,254,0.20053771810180554,0.0,HS Active
12360,2712.415234636702,2.0,148.0,200.0,789.24,0.10502084164886456,0.31504642877559946,0.630046745892437,0.945004464726646,0.7993139374797458,Austria,10/18/2011 15:22,2662.06,129,0.20068606252025423,1.0,MS Inactive
12362,4948.147599013218,9.0,292.0,295.0,527.4588888888889,0.2699729786941688,0.8098827962346684,1.6196613276711735,2.429342422389363,0.7998532638581443,Belgium,10/11/2011 14:33,5154.58,274,0.20014673614185574,0.0,HS Active
12363,616.9250397050058,1.0,133.0,242.0,252.9,0.05866862954602859,0.1759986476823105,0.3519763923902778,0.527934579030432,0.7989011399621022,Unspecified,4/11/2011 13:29,552.0,23,0.2010988600378978,1.0,MS Inactive
12364,1856.3960931765384,3.0,105.0,112.0,229.7266666666667,0.21141984249972046,0.6342099582252195,1.2682810010627377,1.9022281971825077,0.7996527123708499,Belgium,10/30/2011 15:43,1313.1,85,0.2003472876291501,2.0,LS Active
12370,1964.8007095431094,3.0,309.0,360.0,651.6233333333333,0.08916157720553303,0.2674756137477577,0.5349247034736057,0.802348656828672,0.7995153670955366,Cyprus,10/19/2011 14:51,3545.69,167,0.2004846329044634,0.0,HS Active
12371,1897.2537114451738,1.0,15.0,59.0,360.0,0.142604815084393,0.42777348687802647,0.8554341456325525,1.2829968287326836,0.7989211983758886,Switzerland,10/11/2011 10:43,1887.96,63,0.2010788016241114,2.0,LS Active
12372,1212.9994770577782,2.0,225.0,296.0,449.41,0.07739236224670881,0.23216825747641562,0.46431093118337685,0.6964295186968587,0.7993110581956917,Denmark,2/16/2011 12:46,1298.04,52,0.2006889418043083,1.0,MS Inactive
12375,1076.172511394087,1.0,88.0,98.0,227.20000000000002,0.10935624762780025,0.3280442616175401,0.6560198873661431,0.9839342606186494,0.7994405015572656,Finland,11/29/2011 10:36,455.42,18,0.20055949844273435,2.0,LS Active
12377,869.0831311366413,1.0,39.0,354.0,626.6,0.04286606251178704,0.12859426531231077,0.2571770981293491,0.38574905915419927,0.7939836200345463,Switzerland,1/28/2011 15:45,1628.12,77,0.20601637996545374,2.0,LS Active
12379,1080.805711594824,1.0,89.0,170.0,392.4,0.0763523606201095,0.22904493331470646,0.45805516579643996,0.6870334908338669,0.7989358968776146,Belgium,6/22/2011 16:32,850.29,41,0.20106410312238543,2.0,LS Active
12380,3574.3928471253294,3.0,164.0,185.0,705.7533333333332,0.15062481600747907,0.45184886847515254,0.9036247552431735,1.3553336737733959,0.7995845317450957,Belgium,10/14/2011 11:39,2720.56,105,0.2004154682549043,1.0,MS Inactive
12381,1502.0570520048366,4.0,115.0,119.0,144.14249999999998,0.25675874687289874,0.7702162713510088,1.5402643561023457,2.3101623323254024,0.7997242066192459,Norway,10/11/2011 15:45,1803.96,91,0.20027579338075407,2.0,LS Active
12383,1286.7139748822678,4.0,168.0,352.0,312.46,0.11410052058410637,0.34228928173114154,0.6845428870776011,1.0267627574486715,0.7960351719299119,Belgium,1/12/2011 14:10,1839.31,100,0.2039648280700881,1.0,MS Inactive
12384,1109.7797884280383,1.0,93.0,121.0,292.58000000000004,0.09609942561651404,0.2882792388344909,0.5765047096036104,0.8646816346106767,0.7993312474577078,Switzerland,11/11/2011 8:39,566.16,30,0.20066875254229222,2.0,LS Active
12386,318.14946851009285,1.0,29.0,366.0,143.0,0.041602908559867924,0.12480502167218414,0.24959923875184215,0.37438316799070126,0.7924518768914478,Australia,1/6/2011 12:37,401.9,10,0.2075481231085522,2.0,LS Active
